Tool_ID,Group,Position,Condition,TCond,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz
51,1,c,4,0,90.9,90.4,3,0.25,350,0.07,0.64,2.705,0.497,2.045,69.3,2.984,52.04,44.26,22.9
51,1,c,4,0,90.9,90.4,4,0.25,350,0.07,0.598,2.515,0.416,2.019,70.8,2.952,52.04,44.26,22.9
51,1,c,4,0,90.9,90.4,5,0.25,350,0.07,0.642,2.678,0.502,2.097,70.8,2.886,52.04,44.26,22.9
51,1,c,4,0,90.9,90.4,6,0.25,350,0.07,0.656,2.644,0.54,2.041,70.7,2.827,52.04,44.26,22.9
51,1,d,9,0,90.9,90.4,1,0.25,390,0.13,0.988,4.2,0.646,2.356,129.5,4.434,80.14,59.87,25.76
51,1,d,9,0,90.9,90.4,2,0.25,390,0.13,1.003,4.345,0.67,2.351,133.6,4.553,80.14,59.87,25.76
51,1,d,9,0,90.9,90.4,3,0.25,390,0.13,1.551,5.761,0.41,1.905,130.3,5.932,80.14,59.87,25.76
51,1,d,9,0,90.9,90.4,4,0.25,390,0.13,0.996,4.274,0.724,2.407,130.6,4.388,80.14,59.87,25.76
51,1,d,9,0,90.9,90.4,5,0.25,390,0.13,1.541,5.788,0.409,1.912,130.8,5.937,80.14,59.87,25.76
51,1,d,9,0,90.9,90.4,6,0.25,390,0.13,1.504,5.613,0.39,1.873,131,5.729,80.14,59.87,25.76
51,1,e,8,0,90.9,90.4,1,0.25,390,0.1,0.999,3.641,0.359,1.833,100.5,3.806,66.41,51.77,23.69
51,1,e,8,0,90.9,90.4,2,0.25,390,0.1,0.96,3.812,0.449,2.008,100.6,3.906,66.41,51.77,23.69
51,1,e,8,0,90.9,90.4,3,0.25,390,0.1,0.806,3.294,0.583,2.228,100.8,3.384,66.41,51.77,23.69
51,1,e,8,0,90.9,90.4,4,0.25,390,0.1,1.009,3.644,0.399,1.817,99.9,3.76,66.41,51.77,23.69
51,1,e,8,0,90.9,90.4,5,0.25,390,0.1,0.794,3.232,0.581,2.219,100.1,3.332,66.41,51.77,23.69
51,1,e,8,0,90.9,90.4,6,0.25,390,0.1,1.019,3.699,0.291,1.752,99.7,3.896,66.41,51.77,23.69
