Position,vc,cat,cont_1,cont_2,Fy
102.8563636,66.995,-40.95199272,-26.90398429,0.321748681,69.35
102.8563636,66.995,-40.95199272,-26.9072586,0.387803078,69.35
102.8563636,66.995,-40.95199272,-26.9072586,0.387803078,69.35
98.42083333,66.995,-40.95199272,7.643646062,-0.0822457,87.39
98.42083333,66.995,-40.95199272,7.669403405,-0.52780617,87.39
98.42083333,66.995,-40.95199272,7.674995549,-0.384337633,87.39
98.42083333,66.995,-40.95199272,7.669581248,-0.464751733,87.39
98.42083333,66.995,-40.95199272,7.670614337,-0.241561357,87.39
98.42083333,66.995,-40.95199272,7.665558611,-0.07583516,87.39
96.35583333,66.995,-40.95199272,-15.43538862,-0.726994951,57.9
96.35583333,66.995,-40.95199272,-15.43472601,-0.892003044,57.9
96.35583333,66.995,-40.95199272,-15.43553935,-0.90433717,57.9
96.35583333,66.995,-40.95199272,-15.4378028,-0.939544167,57.9
96.35583333,66.995,-40.95199272,-15.43457649,-0.873566103,57.9
96.35583333,66.995,-40.95199272,-15.43707756,-0.9845462,57.9
97.27833333,107.474697,-40.95199272,7.651207014,0.361468898,85.72
97.27833333,107.474697,-40.95199272,7.652150799,0.42885685,85.72
97.27833333,107.474697,-40.95199272,7.6525284,0.451704117,85.72
97.27833333,107.474697,-40.95199272,7.655806963,0.38400844,85.72
97.27833333,107.474697,-40.95199272,7.650174255,0.433267177,85.72
97.27833333,107.474697,-40.95199272,7.654189367,0.391137084,85.72
95.03916667,107.474697,-40.95199272,-26.92751291,-0.622118147,69.57
95.03916667,107.474697,-40.95199272,-26.9297301,-0.315333766,69.57
95.03916667,107.474697,-40.95199272,-26.9326985,-0.212251865,69.57
95.03916667,107.474697,-40.95199272,-26.93601011,-0.317487841,69.57
95.03916667,107.474697,-40.95199272,-26.93327965,-0.487855039,69.57
95.03916667,107.474697,-40.95199272,-26.93304675,-0.232714383,69.57
88.75583333,107.474697,-40.95199272,-15.44767519,-1.716351721,57.46
88.75583333,107.474697,-40.95199272,-15.44289069,-1.662451745,57.46
88.75583333,107.474697,-40.95199272,-15.44434744,-1.861307676,57.46
88.75583333,107.474697,-40.95199272,-15.44779484,-2.12326949,57.46
88.75583333,107.474697,-40.95199272,-15.44471981,-1.770867387,57.46
88.75583333,107.474697,-40.95199272,-15.44896198,-1.518880553,57.46
90.815,66.64222222,-40.95199272,-15.47064277,-1.767866471,58.82
