Position,TCond,vc,cat,cont_1,cont_2,Fx
138.3391667,135.5445714,145.3916667,-124.4873777,32.04566452,-0.710122957,80.14
138.3708333,135.5445714,145.3916667,-124.4873777,7.881986857,-0.831949523,66.41
138.3708333,135.5445714,145.3916667,-124.4873777,7.885122153,-0.393722528,66.41
138.3708333,135.5445714,145.3916667,-124.4873777,7.843947565,0.2005122,66.41
138.3708333,135.5445714,145.3916667,-124.4873777,7.881137221,-0.771844078,66.41
138.3708333,135.5445714,145.3916667,-124.4873777,7.838991949,0.183434418,66.41
138.3708333,135.5445714,145.3916667,-124.4873777,7.886664284,-1.089500772,66.41
129.055,135.5445714,145.3916667,-124.4873777,-29.68940689,-0.423801333,52.92
129.055,135.5445714,145.3916667,-124.4873777,-29.69300888,-0.541037867,52.92
129.055,135.5445714,145.3916667,-124.4873777,-29.70195992,-0.879695716,52.92
129.055,135.5445714,145.3916667,-124.4873777,-29.6916643,-1.023805307,52.92
129.055,135.5445714,145.3916667,-124.4873777,-29.69832388,-0.722046703,52.92
129.055,135.5445714,145.3916667,-124.4873777,-29.69405131,-0.642042744,52.92
138.2291667,135.5445714,145.8066667,-124.4873777,7.841107075,-1.814485374,68.78
138.2291667,135.5445714,145.8066667,-124.4873777,7.840761469,-1.744225482,68.78
138.2291667,135.5445714,145.8066667,-124.4873777,7.850797116,-1.751533353,68.78
138.2291667,135.5445714,145.8066667,-124.4873777,7.8442073,-1.812741679,68.78
138.2291667,135.5445714,145.8066667,-124.4873777,7.843204154,-1.773149959,68.78
138.2291667,135.5445714,145.8066667,-124.4873777,7.837983314,-1.931029647,68.78
136.7941667,135.5445714,145.8066667,-124.4873777,31.95553047,-1.074499775,83.42
136.7941667,135.5445714,145.8066667,-124.4873777,31.95060963,-0.783280394,83.42
136.7941667,135.5445714,145.8066667,-124.4873777,31.93862281,-0.718148933,83.42
136.7941667,135.5445714,145.8066667,-124.4873777,31.95713122,-1.106757781,83.42
136.7941667,135.5445714,145.8066667,-124.4873777,31.95873619,-1.128963994,83.42
136.7941667,135.5445714,145.8066667,-124.4873777,31.95788212,-0.752791688,83.42
160.1583307,135.5445714,145.8066667,-124.4873777,-29.67080062,-0.47828996,55.84
160.1583307,135.5445714,145.8066667,-124.4873777,-29.68148862,0.121457497,55.84
160.1583307,135.5445714,145.8066667,-124.4873777,-29.69920865,-0.866796631,55.84
160.1583307,135.5445714,145.8066667,-124.4873777,-29.70687232,-1.156195506,55.84
160.1583307,135.5445714,145.8066667,-124.4873777,-29.69839943,-0.975597049,55.84
160.1583307,135.5445714,145.8066667,-124.4873777,-29.6785551,-0.741328573,55.84
131.4045455,135.5445714,145.8066667,24.56827075,7.878974289,-0.091323109,139.5
131.4045455,135.5445714,145.8066667,24.56827075,7.865494185,0.326364317,139.5
131.4045455,135.5445714,145.8066667,24.56827075,7.859687166,0.275772026,139.5
131.4045455,135.5445714,145.8066667,24.56827075,7.870044037,0.321748681,139.5
131.4045455,135.5445714,145.8066667,24.56827075,7.86230347,0.387803078,139.5
131.4045455,135.5445714,145.8066667,24.56827075,7.86230347,0.387803078,139.5
133.225,135.5445714,145.8066667,24.56827075,31.89157036,-0.0822457,176.5
133.225,135.5445714,145.8066667,24.56827075,31.95631033,-0.52780617,176.5
133.225,135.5445714,145.8066667,24.56827075,31.97004152,-0.384337633,176.5
133.225,135.5445714,145.8066667,24.56827075,31.95650324,-0.464751733,176.5
133.225,135.5445714,145.8066667,24.56827075,31.95955679,-0.241561357,176.5
133.225,135.5445714,145.8066667,24.56827075,31.94663377,-0.07583516,176.5
139.6883333,135.5445714,145.8066667,24.56827075,-29.69068775,-0.726994951,109.1
139.6883333,135.5445714,145.8066667,24.56827075,-29.68932019,-0.892003044,109.1
139.6883333,135.5445714,145.8066667,24.56827075,-29.69090274,-0.90433717,109.1
139.6883333,135.5445714,145.8066667,24.56827075,-29.69645849,-0.939544167,109.1
139.6883333,135.5445714,145.8066667,24.56827075,-29.68909298,-0.873566103,109.1
